NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|71|Wortel rauw gem|Carrot raw av|2728|Wortel winterpeen rauw|Carrot winter raw|50,0
NEVO-Online 2021 7.0|71|Wortel rauw gem|Carrot raw av|2726|Wortel bospeen rauw|Carrot bunched raw|50,0
NEVO-Online 2021 7.0|72|Wortel gekookt gem|Carrot boiled av|2727|Wortel bospeen gekookt|Carrot bunched boiled|50,0
NEVO-Online 2021 7.0|72|Wortel gekookt gem|Carrot boiled av|2729|Wortel winterpeen gekookt|Carrot winter boiled|50,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|128|Peterselie vers|Parsley fresh|6,3
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|1235|Selderij blad- vers|Celery leaves fresh|6,3
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|71|Wortel rauw gem|Carrot raw av|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|562|Prei rauw|Leek raw|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|63|Ui rauw|Onions raw|25,0
NEVO-Online 2021 7.0|75|Groente soep- rauw|Vegetable mix for soup raw|558|Selderij knol- rauw|Celeriac raw|12,5
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2769|Ei kippen- scharrel rauw|Egg whole chicken free-range raw|80,0
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2773|Ei kippen- mais rauw|Egg whole chicken corn-fed raw|10,0
NEVO-Online 2021 7.0|83|Ei kippen- rauw gem|Egg whole chicken av raw|2771|Ei kippen- biologisch rauw|Egg whole chicken organic raw|10,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2770|Ei kippen- scharrel gekookt|Egg whole chicken free-range boiled|80,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2774|Ei kippen- mais gekookt|Egg whole chicken corn-fed boiled|10,0
NEVO-Online 2021 7.0|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|2772|Ei kippen- biologisch gekookt|Egg whole chicken organic boiled|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|820|Kabeljauw rauw|Cod raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|3199|Ansjovis rauw|Anchovy raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|1098|Inktvis rauw|Squid raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|3318|Koolvis (Alaska) rauw|Pollock (Alaska) raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|2296|Koolvis (Atlantisch) rauw|Pollack (Atlantic) raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|813|Schol rauw|Plaice raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|357|Stokvis geweekt|Stockfish soaked|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|2299|Tilapia rauw|Tilapia raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|2298|Tong rauw (vis)|Sole raw|10,0
NEVO-Online 2021 7.0|114|Vis mager 0-5 g vet gem rauw|Fish lean 0-5 g fat raw av|2297|Tonijn rauw|Tuna raw|10,0
NEVO-Online 2021 7.0|116|Vis vet >5 g vet gem rauw|Fish fat >5 g fat raw av|353|Makreel rauw|Mackerel raw|25,0
NEVO-Online 2021 7.0|116|Vis vet >5 g vet gem rauw|Fish fat >5 g fat raw av|112|Paling rauw|Eel raw|25,0
NEVO-Online 2021 7.0|116|Vis vet >5 g vet gem rauw|Fish fat >5 g fat raw av|1587|Zalm kweek- rauw|Salmon farmed raw|25,0
NEVO-Online 2021 7.0|116|Vis vet >5 g vet gem rauw|Fish fat >5 g fat raw av|350|Haring gezouten|Herring salted|12,5
NEVO-Online 2021 7.0|116|Vis vet >5 g vet gem rauw|Fish fat >5 g fat raw av|113|Haring pan- rauw|Herring raw|12,5
NEVO-Online 2021 7.0|121|Aardappelpuree vers bereid m halfvolle melk en marg|Potatoes mashed fresh prep w semi-sk milk+marg|982|Aardappelen z schil gekookt gem|Potatoes wo skin boiled av|73,0
NEVO-Online 2021 7.0|121|Aardappelpuree vers bereid m halfvolle melk en marg|Potatoes mashed fresh prep w semi-sk milk+marg|286|Melk halfvolle|Milk semi-skimmed|25,5
NEVO-Online 2021 7.0|121|Aardappelpuree vers bereid m halfvolle melk en marg|Potatoes mashed fresh prep w semi-sk milk+marg|2063|Margarine 80% vet >24 g verz vetz gezouten|Margarine 80% fat >24 g sat fa salted|1,5
NEVO-Online 2021 7.0|122|Chips gem|Crisps potato av|2923|Chips naturel|Crisps potato unflavoured|50,0
NEVO-Online 2021 7.0|122|Chips gem|Crisps potato av|2924|Chips paprika ea smaken|Crisps potato flavoured|50,0
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|46|Sla krop- rauw|Lettuce butterhead raw|7,2
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|71|Wortel rauw gem|Carrot raw av|6,6
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|67|Witlof rauw|Chicory raw|3,8
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|7|Andijvie rauw|Endive raw|3,5
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|2734|Tomaat rauw gem|Tomato av raw|26,5
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|2736|Sla rucola rauw|Rocket raw|2,1
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|2739|Komkommer m schil rauw|Cucumber w skin raw|17,6
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|884|Paprika rode rauw|Sweet pepper red raw|1,4
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|27|Komkommer z schil rauw|Cucumber wo skin raw|13,7
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|1399|Sla ijsberg- rauw|Lettuce iceberg raw|13,5
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|65|Sla veld- rauw|Lettuce lambs raw|1,1
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|2708|Sla rode rauw|Lettuce red raw|1,0
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|2740|Paprika gele rauw|Sweet pepper yellow raw|0,7
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|124|Radijs rauw|Radish raw|0,7
NEVO-Online 2021 7.0|127|Rauwkost gem|Vegetables mixture raw av|31|Paprika groene rauw|Sweet pepper green raw|0,6
NEVO-Online 2021 7.0|147|Appel z schil gem|Apple wo skin av|2752|Appel Elstar z schil|Apple Elstar wo skin|50,0
NEVO-Online 2021 7.0|147|Appel z schil gem|Apple wo skin av|2754|Appel Jonagold z schil|Apple Jonagold wo skin|50,0
NEVO-Online 2021 7.0|160|Druiven m schil gem|Grapes w skin av|2749|Druiven blauwe m schil|Grapes black w skin|50,0
NEVO-Online 2021 7.0|160|Druiven m schil gem|Grapes w skin av|2750|Druiven witte m schil|Grapes white w skin|50,0
NEVO-Online 2021 7.0|172|Fruit vers citrus- gem|Fruit fresh citrus av|171|Sinaasappel|Orange|53,8
NEVO-Online 2021 7.0|172|Fruit vers citrus- gem|Fruit fresh citrus av|165|Mandarijn|Manderins|42,2
NEVO-Online 2021 7.0|172|Fruit vers citrus- gem|Fruit fresh citrus av|162|Grapefruit|Grapefruit|3,7
NEVO-Online 2021 7.0|172|Fruit vers citrus- gem|Fruit fresh citrus av|158|Citroen|Lemon|0,3
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|148|Aardbeien|Strawberries|6,1
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|160|Druiven m schil gem|Grapes w skin av|5,5
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|1056|Kiwi groene|Kiwi fruit green|5,0
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|168|Peer z schil|Pear wo skin|3,7
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|166|Meloen net-|Melon netted|2,9
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|150|Ananas|Pineapple|2,9
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|875|Appel m schil gem|Apple w skin av|25,8
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|1812|Nectarine|Nectarine|2,5
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|151|Banaan|Banana|22,9
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|2748|Peer m schil|Pear w skin|2,2
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|147|Appel z schil gem|Apple wo skin av|14,9
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|692|Mango|Mango|1,2
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|163|Kersen|Cherries|1,1
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|170|Pruimen m schil|Plums w skin|1,0
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|169|Perzik z schil|Peach wo skin|0,6
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|1105|Meloen water-|Melon water|0,4
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|153|Bessen rode|Redcurrants|0,3
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|161|Frambozen|Raspberries|0,3
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|1106|Meloen suiker-|Melon honeydew|0,2
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|155|Bessen bos-|Bilberries|0,1
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|157|Bramen|Blackberries|0,1
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|159|Cranberry vers|Cranberries fresh|0,1
NEVO-Online 2021 7.0|173|Fruit vers excl citrus- gem|Fruit fresh av excl citrus|1090|Lychee|Lychees|0,1
NEVO-Online 2021 7.0|192|Tuttifrutti gedroogd|Fruit mixed dried|190|Pruimen gedroogd|Prunes|42,2
NEVO-Online 2021 7.0|192|Tuttifrutti gedroogd|Fruit mixed dried|175|Abrikozen gedroogd|Apricots dried|27,5
NEVO-Online 2021 7.0|192|Tuttifrutti gedroogd|Fruit mixed dried|178|Appeltjes gedroogd|Apples dried|17,6
NEVO-Online 2021 7.0|192|Tuttifrutti gedroogd|Fruit mixed dried|187|Peren gedroogd|Pear dried|12,7
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|184|Kersen op siroop blik/glas|Cherries in syrup tinned|4,9
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|177|Ananas op siroop blik/glas|Pineapple in syrup tinned|32,6
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|188|Peren op siroop blik/glas|Pears in syrup tinned|25,9
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|183|Fruitcocktail op siroop blik/glas|Fruit cocktail in syrup tinned|20,5
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|186|Mandarijnen op siroop blik/glas|Tangerines in syrup tinned|1,6
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|189|Perziken op siroop blik/glas|Peaches in syrup tinned|12,1
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|174|Aardbeien op siroop blik/glas|Strawberries in syrup tinned|1,2
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|176|Abrikozen op siroop blik/glas|Apricots in syrup tinned|0,4
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|1116|Meloen op siroop blik/glas|Melon in syrup canned|0,4
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|182|Frambozen op siroop blik/glas|Raspberries in syrup tinned|0,3
NEVO-Online 2021 7.0|194|Vruchten op siroop gem blik/glas|Fruit in syrup tinned|180|Bessen bos- op siroop blik/glas|Bilberries in syrup tinned|0,2
NEVO-Online 2021 7.0|205|Studentenhaver|Mixed nuts and raisins|33|Rozijnen gedroogd|Raisins dried|50,0
NEVO-Online 2021 7.0|205|Studentenhaver|Mixed nuts and raisins|206|Noten wal- ongezouten|Walnuts unsalted|5,0
NEVO-Online 2021 7.0|205|Studentenhaver|Mixed nuts and raisins|203|Noten para- ongezouten|Brazil nuts unsalted|20,0
NEVO-Online 2021 7.0|205|Studentenhaver|Mixed nuts and raisins|200|Noten hazel- ongezouten|Hazelnuts unsalted|15,0
NEVO-Online 2021 7.0|205|Studentenhaver|Mixed nuts and raisins|198|Noten amandelen z vliesje ongezouten|Almonds blanched unsalted|10,0
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|204|Pinda's ongezouten|Peanuts unsalted|48,2
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|198|Noten amandelen z vliesje ongezouten|Almonds blanched unsalted|4,2
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|200|Noten hazel- ongezouten|Hazelnuts unsalted|4,1
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|2844|Noten macadamia- ongezouten|Nuts macadamia unsalted|2,9
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|199|Noten cashew- ongezouten|Cashew nuts unsalted|24,5
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|1895|Noten pecan- ongebrand ongezouten|Pecan nuts unroasted unsalted|2,4
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|203|Noten para- ongezouten|Brazil nuts unsalted|2,2
NEVO-Online 2021 7.0|207|Noten gemengd ongezouten|Nuts mixed unsalted|206|Noten wal- ongezouten|Walnuts unsalted|11,6
NEVO-Online 2021 7.0|223|Bindmiddel gem|Binding agents averaged|220|Bloem tarwe- patent|Flour wheat white|81,5
NEVO-Online 2021 7.0|223|Bindmiddel gem|Binding agents averaged|215|Maizena|Cornstarch|17,5
NEVO-Online 2021 7.0|223|Bindmiddel gem|Binding agents averaged|226|Meel aardappelzetmeel|Starch, potato|1,0
NEVO-Online 2021 7.0|229|Knackebrod gem|Crispbread averaged|976|Knackebrod lichtgewicht|Crispbread lightweight|6,1
NEVO-Online 2021 7.0|229|Knackebrod gem|Crispbread averaged|1779|Knackebrod volkoren|Crispbread wholemeal|54,5
NEVO-Online 2021 7.0|229|Knackebrod gem|Crispbread averaged|1253|Knackebrod vezelrijk|Crispbread high fibre|5,4
NEVO-Online 2021 7.0|229|Knackebrod gem|Crispbread averaged|975|Knackebrod sesam|Crispbread sesame|31,3
NEVO-Online 2021 7.0|229|Knackebrod gem|Crispbread averaged|596|Knackebrod goudbruin|Crispbread gold-brown|2,7
NEVO-Online 2021 7.0|246|Brood volkoren- gem v fijn en grof|Bread wholemeal av fine and coarse|2811|Brood volkoren- fijn|Bread wholemeal fine|50,0
NEVO-Online 2021 7.0|246|Brood volkoren- gem v fijn en grof|Bread wholemeal av fine and coarse|2782|Brood volkoren- grof|Bread wholemeal coarse|50,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|377|Suiker kristal-|Sugar granulated|6,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|5,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|790|Amandelspijs m ei|Almond paste w egg|40,1
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|286|Melk halfvolle|Milk semi-skimmed|3,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|220|Bloem tarwe- patent|Flour wheat white|20,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|2063|Margarine 80% vet >24 g verz vetz gezouten|Margarine 80% fat >24 g sat fa salted|15,0
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|1885|Water gem|Water av|10,5
NEVO-Online 2021 7.0|250|Broodje amandel- (v bladerdeeg)|Puff pastry filled w almond paste|841|Zout m toegevoegd jodium|Salt fortified w iodine|0,3
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|33|Rozijnen gedroogd|Raisins dried|6,5
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|147|Appel z schil gem|Apple wo skin av|52,2
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|4,4
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|220|Bloem tarwe- patent|Flour wheat white|13,9
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|286|Melk halfvolle|Milk semi-skimmed|1,3
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|375|Suiker basterd- witte|Sugar castor white|10,4
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|2063|Margarine 80% vet >24 g verz vetz gezouten|Margarine 80% fat >24 g sat fa salted|10,4
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|215|Maizena|Cornstarch|0,6
NEVO-Online 2021 7.0|251|Taart appel- v zandtaartdeeg z roomboter|Apple pie Dutch w shortbread wo butter|841|Zout m toegevoegd jodium|Salt fortified w iodine|0,1
NEVO-Online 2021 7.0|253|Cake z roomboter|Cake wo butter|220|Bloem tarwe- patent|Flour wheat white|24,9
NEVO-Online 2021 7.0|253|Cake z roomboter|Cake wo butter|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|24,9
NEVO-Online 2021 7.0|253|Cake z roomboter|Cake wo butter|2063|Margarine 80% vet >24 g verz vetz gezouten|Margarine 80% fat >24 g sat fa salted|24,9
NEVO-Online 2021 7.0|253|Cake z roomboter|Cake wo butter|377|Suiker kristal-|Sugar granulated|24,9
NEVO-Online 2021 7.0|253|Cake z roomboter|Cake wo butter|841|Zout m toegevoegd jodium|Salt fortified w iodine|0,3
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|220|Bloem tarwe- patent|Flour wheat white|38,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|377|Suiker kristal-|Sugar granulated|37,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|295|Melkpoeder magere|Milk skimmed dried|2,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|215|Maizena|Cornstarch|2,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|11,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|1885|Water gem|Water av|10,0
NEVO-Online 2021 7.0|254|Koek eier-|Cake sponge Dutch Eierkoek|2819|Zout z toegevoegd jodium|Salt not fortified w iodine|0,1
NEVO-Online 2021 7.0|256|Taart creme au beurre-|Gateau w butter-cream filling|1472|Creme au beurre|Butter cream|55,2
NEVO-Online 2021 7.0|256|Taart creme au beurre-|Gateau w butter-cream filling|2272|Taartbodem v biscuitdeeg|Fatless sponge|44,8
NEVO-Online 2021 7.0|257|Koek gevulde gem|Almond paste filled tarts av|2761|Koek gevulde m roomboter|Almond paste filled tarts w butter|50,0
NEVO-Online 2021 7.0|257|Koek gevulde gem|Almond paste filled tarts av|2762|Koek gevulde z roomboter|Almond paste filled tarts wo butter|50,0
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|252|Biscuit|Biscuit|9,5
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|5,9
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|1471|Biscuit m chocolade|Biscuit w chocolate|5,9
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2227|Biscuit fourre|Biscuit filled|5,4
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|480|Biscuit fourre omhuld m chocolade|Biscuit filled chocolate coated|4,8
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|633|Bokkenpootje|Meringue cake Bokkenpootje|3,2
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|836|Koekje zand-|Shortbread|3,1
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|481|Koek Bastogne|Biscuit shortbread Bastogne|3,0
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|259|Kokosmakronen|Coconut macaroons|2,6
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|635|Koekje krakeling|Biscuit Dutch Krakeling|2,3
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|634|Koek kokos-|Coconut flavoured cookies|2,2
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|261|Speculaas gem|Biscuit spiced Speculaas av|20,2
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2162|Cafe noir|Biscuit Cafe noir|1,5
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2699|Frou frou|Biscuit Dutch Frou frou|1,4
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|263|Biscuit tarwe-/volkoren-|Biscuit brown/wholemeal|13,6
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2228|Koekje Scholiertje|Biscuit w chocolate layer Scholiertje|1,3
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|260|Lange vingers|Biscuit sponge fingers|1,2
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2405|Koekje chocolate chip cookie|Chocolate chip cookie|10,8
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|0,8
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2412|Kletskop|Biscuit Dutch Kletskop|0,7
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|2775|Biscuit tarwe-/digestive- m chocolade|Biscuit brown/digestive w chocolate|0,5
NEVO-Online 2021 7.0|258|Koekje gem|Biscuit av|1480|Koekje PiM's sinaasappel|Biscuit Jaffa cakes/Cake PiM's|0,2
NEVO-Online 2021 7.0|261|Speculaas gem|Biscuit spiced Speculaas av|2763|Speculaas m roomboter|Biscuit spiced Speculaas w butter|50,0
NEVO-Online 2021 7.0|261|Speculaas gem|Biscuit spiced Speculaas av|2764|Speculaas z roomboter|Biscuit spiced Speculaas wo butter|50,0
NEVO-Online 2021 7.0|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|220|Bloem tarwe- patent|Flour wheat white|41,5
NEVO-Online 2021 7.0|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|310|Boter ongezouten|Butter unsalted|35,3
NEVO-Online 2021 7.0|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|85|Eidooier kippen- rauw|Egg yolk chicken raw|2,1
NEVO-Online 2021 7.0|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|375|Suiker basterd- witte|Sugar castor white|20,7
NEVO-Online 2021 7.0|262|Sprits m roomboter|Biscuit Dutch shortbread sprits|2819|Zout z toegevoegd jodium|Salt not fortified w iodine|0,4
NEVO-Online 2021 7.0|266|Broodje saucijzen-|Snack sausage roll puff pastry|1434|Gehakt hoh rauw|Minced beef/pork raw|64,0
NEVO-Online 2021 7.0|266|Broodje saucijzen-|Snack sausage roll puff pastry|265|Bladerdeeg z roomboter, bereid|Puff pastry wo butter baked|36,0
NEVO-Online 2021 7.0|284|Yoghurt vruchten- magere|Yoghurt low fat w fruit|377|Suiker kristal-|Sugar granulated|9,0
NEVO-Online 2021 7.0|284|Yoghurt vruchten- magere|Yoghurt low fat w fruit|301|Yoghurt magere|Yoghurt low fat|85,0
NEVO-Online 2021 7.0|284|Yoghurt vruchten- magere|Yoghurt low fat w fruit|1242|Vruchten op eigen sap blik/glas|Fruit in own juice tinned|6,0
NEVO-Online 2021 7.0|288|Pap havermout- bereid m volle melk ongezoet|Porridge oatmeal prepared w whole milk unsweetened|279|Melk volle|Milk whole|89,3
NEVO-Online 2021 7.0|288|Pap havermout- bereid m volle melk ongezoet|Porridge oatmeal prepared w whole milk unsweetened|213|Mout haver-|Oatmeal|10,7
NEVO-Online 2021 7.0|290|Pap karnemelkse bloem-|Porridge buttermilk w wheat flour white|289|Melk karne-|Buttermilk|94,3
NEVO-Online 2021 7.0|290|Pap karnemelkse bloem-|Porridge buttermilk w wheat flour white|220|Bloem tarwe- patent|Flour wheat white|5,7
NEVO-Online 2021 7.0|303|IJs room/vanille- gem|Ice cream dairy av|5345|IJs room- vanille|Ice cream dairy vanilla flavoured|50,0
NEVO-Online 2021 7.0|303|IJs room/vanille- gem|Ice cream dairy av|5346|IJs vanille-|Ice cream dairy w vegetal fat vanilla flavoured|50,0
NEVO-Online 2021 7.0|306|Kwark halfvolle|Quark half fat|307|Kwark volle|Quark full fat|50,0
NEVO-Online 2021 7.0|306|Kwark halfvolle|Quark half fat|305|Kwark magere|Quark low fat|50,0
NEVO-Online 2021 7.0|324|Worst rook- gekookt gem|Sausage smoked cooked av|2766|Worst rook- varkens gekookt|Sausage smoked pork cooked|70,0
NEVO-Online 2021 7.0|324|Worst rook- gekookt gem|Sausage smoked cooked av|2767|Worst rook- varkens ambachtelijke slagerij gekookt|Sausage smoked pork traditional cooked|30,0
