NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2704|Brood tarwe- m diverse zaden|Bread brown w seeds|2806|Pompoenpitten|Pumpkin seeds|4,0
NEVO-Online 2021 7.0|2704|Brood tarwe- m diverse zaden|Bread brown w seeds|872|Zonnebloempitten|Sunflower seeds|4,0
NEVO-Online 2021 7.0|2707|Brood mais- m zonnebloempitten|Bread corn w sunflower seeds|2785|Brood mais-|Bread corn|88,1
NEVO-Online 2021 7.0|2707|Brood mais- m zonnebloempitten|Bread corn w sunflower seeds|872|Zonnebloempitten|Sunflower seeds|11,9
NEVO-Online 2021 7.0|2710|Kool rode m appeltjes blik/glas|Cabbage red w apple pieces glass|42|Kool rode gekookt|Cabbage red boiled|84,7
NEVO-Online 2021 7.0|2710|Kool rode m appeltjes blik/glas|Cabbage red w apple pieces glass|147|Appel z schil gem|Apple wo skin av|5,0
NEVO-Online 2021 7.0|2710|Kool rode m appeltjes blik/glas|Cabbage red w apple pieces glass|377|Suiker kristal-|Sugar granulated|10,0
NEVO-Online 2021 7.0|2710|Kool rode m appeltjes blik/glas|Cabbage red w apple pieces glass|3449|Olie koolzaad-/raapzaad-|Oil rapeseed|0,3
NEVO-Online 2021 7.0|2715|Meringue|Meringue|377|Suiker kristal-|Sugar granulated|95,0
NEVO-Online 2021 7.0|2715|Meringue|Meringue|358|Eiwit kippenei rauw|Egg white chicken raw|5,0
NEVO-Online 2021 7.0|2721|Donut m glazuur|Doughnut iced|1473|Donut ongevuld|Doughnut plain|90,0
NEVO-Online 2021 7.0|2721|Donut m glazuur|Doughnut iced|5122|Glazuur suiker-|Icing (sugar)|10,0
NEVO-Online 2021 7.0|2722|Wafel Luikse m chocolade|Waffle Luikse w chocolate|2661|Wafel Luikse-|Waffle Luikse|87,0
NEVO-Online 2021 7.0|2722|Wafel Luikse m chocolade|Waffle Luikse w chocolate|432|Chocolade puur|Chocolate dark|13,0
NEVO-Online 2021 7.0|2734|Tomaat rauw gem|Tomato av raw|60|Tomaat gewoon rauw|Tomatoes classic round raw|25,0
NEVO-Online 2021 7.0|2734|Tomaat rauw gem|Tomato av raw|2731|Tomaat kers- rauw|Tomato cherry raw|25,0
NEVO-Online 2021 7.0|2734|Tomaat rauw gem|Tomato av raw|2730|Tomaat tros- rauw|Tomato vine raw|25,0
NEVO-Online 2021 7.0|2734|Tomaat rauw gem|Tomato av raw|2732|Tomaat vlees- rauw|Tomato beef raw|25,0
